"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Dec-2022","EQ","455.00","466.50","454.05","450.70","463.30","463.40","463.32","636.00","308.95",13243436,"6,135,975,851.15",139720
"30-Nov-2022","EQ","438.75","451.95","438.15","435.95","449.85","450.70","448.13","636.00","308.95",13921394,"6,238,620,644.10",119346
"29-Nov-2022","EQ","433.00","440.90","432.25","431.15","435.60","435.95","437.86","636.00","308.95",6518828,"2,854,320,203.80",63852
"28-Nov-2022","EQ","435.00","436.50","429.00","440.65","431.20","431.15","431.37","636.00","308.95",5613201,"2,421,362,864.65",75873
"25-Nov-2022","EQ","438.00","441.80","434.35","438.35","440.25","440.65","439.36","636.00","308.95",4800030,"2,108,938,530.25",51545
"24-Nov-2022","EQ","435.55","439.60","432.65","433.35","438.40","438.35","435.34","636.00","308.95",4733568,"2,060,688,180.50",62388
"23-Nov-2022","EQ","434.50","439.30","431.55","430.65","432.65","433.35","434.21","636.00","308.95",6031033,"2,618,764,708.60",80451
"22-Nov-2022","EQ","432.75","436.35","429.00","430.55","430.45","430.65","432.98","636.00","308.95",6108017,"2,644,649,473.90",68444
"21-Nov-2022","EQ","439.80","444.45","428.40","438.60","430.10","430.55","432.37","636.00","308.95",6372470,"2,755,235,450.45",73150
"18-Nov-2022","EQ","440.50","443.90","434.45","440.45","438.20","438.60","438.59","636.00","308.95",6128677,"2,687,975,742.35",61969
"17-Nov-2022","EQ","443.45","444.40","436.50","447.40","439.85","440.45","440.13","636.00","308.95",6533823,"2,875,709,639.00",78181
"16-Nov-2022","EQ","455.55","455.55","444.15","456.90","446.20","447.40","449.27","636.00","308.95",7137989,"3,206,866,274.95",90714
"15-Nov-2022","EQ","456.00","460.55","449.55","455.55","456.20","456.90","455.15","636.00","308.95",11841577,"5,389,723,971.35",121958
"14-Nov-2022","EQ","435.00","458.65","434.05","429.85","454.60","455.55","451.44","636.00","308.95",30135088,"13,604,235,651.80",387014
"11-Nov-2022","EQ","420.35","431.80","420.30","415.10","428.35","429.85","428.14","636.00","308.95",14060782,"6,019,931,875.60",128758
"10-Nov-2022","EQ","415.30","420.40","412.75","417.10","414.80","415.10","416.13","636.00","308.95",5574432,"2,319,693,755.80",69473
"09-Nov-2022","EQ","430.10","433.00","415.60","437.50","416.75","417.10","419.84","636.00","308.95",13898567,"5,835,221,434.95",148564
"07-Nov-2022","EQ","432.00","438.90","426.30","430.55","437.00","437.50","435.17","636.00","308.95",9887999,"4,302,912,856.05",121001
"04-Nov-2022","EQ","412.45","432.00","412.00","410.35","430.05","430.55","423.50","636.00","308.95",13317485,"5,639,951,857.75",136925
"03-Nov-2022","EQ","415.00","415.90","408.95","421.30","411.00","410.35","412.03","636.00","308.95",7304472,"3,009,671,089.85",80552
"02-Nov-2022","EQ","414.75","426.85","414.00","414.40","421.00","421.30","423.42","636.00","308.95",11554760,"4,892,480,829.15",132153
"01-Nov-2022","EQ","406.00","415.00","406.00","405.65","414.65","414.40","412.03","636.00","308.95",7483252,"3,083,331,328.00",67037
"31-Oct-2022","EQ","405.00","408.75","403.00","404.95","405.50","405.65","405.33","636.00","308.95",4257977,"1,725,881,069.75",55595
"28-Oct-2022","EQ","412.50","412.50","399.75","412.40","404.50","404.95","404.53","636.00","308.95",6569623,"2,657,620,327.50",74915
"27-Oct-2022","EQ","408.00","413.40","405.35","398.40","412.50","412.40","410.66","636.00","308.95",9752346,"4,004,885,350.70",94958
"25-Oct-2022","EQ","394.40","402.80","391.50","395.55","397.80","398.40","399.08","636.00","308.95",6156624,"2,456,976,197.95",69145
"24-Oct-2022","EQ","395.00","398.85","394.35","393.75","395.45","395.55","396.49","636.00","308.95",793366,"314,562,554.80",12604
"21-Oct-2022","EQ","397.20","398.05","386.25","395.20","392.10","393.75","391.76","636.00","308.95",7988528,"3,129,547,388.90",70794
"20-Oct-2022","EQ","383.00","396.70","380.10","390.30","396.70","395.20","389.82","636.00","308.95",8222063,"3,205,086,721.10",85301
"19-Oct-2022","EQ","394.00","398.10","389.50","393.45","390.00","390.30","394.01","636.00","308.95",6208852,"2,446,353,613.80",66227
"18-Oct-2022","EQ","391.50","398.40","391.35","388.30","394.00","393.45","395.07","636.00","308.95",7081590,"2,797,724,652.55",91188
"17-Oct-2022","EQ","395.05","395.90","386.30","397.15","388.50","388.30","390.77","636.00","308.95",8966396,"3,503,840,396.80",85711
"14-Oct-2022","EQ","411.25","411.25","396.40","401.55","398.70","397.15","403.64","636.00","308.95",6115990,"2,468,649,279.35",69559
"13-Oct-2022","EQ","411.00","416.50","400.00","400.20","401.00","401.55","406.57","636.00","308.95",16565725,"6,735,150,179.90",160406
"12-Oct-2022","EQ","398.05","401.40","391.75","396.05","400.65","400.20","397.86","636.00","308.95",6584436,"2,619,670,154.15",61032
"11-Oct-2022","EQ","403.00","412.45","393.90","407.50","395.20","396.05","401.69","636.00","308.95",7054654,"2,833,755,681.30",92140
"10-Oct-2022","EQ","403.50","409.15","400.00","411.10","407.25","407.50","404.85","636.00","308.95",6519737,"2,639,523,822.85",70335
"07-Oct-2022","EQ","409.95","411.95","405.80","412.65","411.10","411.10","409.18","636.00","308.95",5241693,"2,144,816,593.80",80357
"06-Oct-2022","EQ","402.00","413.95","399.40","394.05","412.30","412.65","408.62","636.00","308.95",11758976,"4,805,008,065.75",149260
"04-Oct-2022","EQ","396.00","400.90","390.30","380.95","393.80","394.05","394.42","636.00","308.95",9017446,"3,556,685,543.30",97722
"03-Oct-2022","EQ","389.00","389.45","379.10","390.55","380.95","380.95","382.23","636.00","308.95",8504297,"3,250,633,859.20",116686
"30-Sep-2022","EQ","376.00","395.35","375.15","371.20","391.90","390.55","385.58","636.00","308.95",17706821,"6,827,367,123.35",175266
"29-Sep-2022","EQ","366.75","376.90","366.00","360.75","372.50","371.20","373.35","636.00","308.95",14020084,"5,234,421,398.55",168679
